Player,Matches,Innings,Balls,Runs,Wickets,Best Bowling,Average,Economy,Strike Rate,Maidens,4W,5W,T20I Matches,T20I Wickets,ODI Matches,ODI Wickets
S Lamichhane,144,144,5865,4830,299,7/14,16.15,4.94,19.62,59,12,7,65,129,79,170
Sompal Kami,177,177,5807,5626,236,5/28,23.84,5.81,24.61,52,7,3,82,88,95,148
Karan KC,161,161,4975,4978,228,5/26,21.83,6.0,21.82,47,12,5,82,113,79,115
DS Airee,124,124,3280,2630,126,5/22,20.87,4.81,26.03,22,4,1,62,69,62,57
B Regmi,61,61,2696,1731,108,5/35,16.03,3.85,24.96,53,5,1,15,22,46,86
LN Rajbanshi,78,78,2786,2175,94,5/20,23.14,4.68,29.64,21,3,1,38,40,40,54
A Bohara,60,60,1236,1535,78,4/29,19.68,7.45,15.85,4,3,0,58,77,2,1
Gulsan Jha,66,66,1511,1690,60,5/47,28.17,6.71,25.18,5,0,1,33,29,33,31
P Khadka,70,70,2221,1587,54,4/24,29.39,4.29,41.13,38,4,0,22,12,48,42
SP Gauchan,41,41,1659,929,52,3/2,17.87,3.36,31.9,40,0,0,6,7,35,45
Kushal Malla,58,58,1448,1181,49,4/12,24.1,4.89,29.55,12,2,0,27,23,31,26
K Bhurtel,46,46,896,847,48,4/12,17.65,5.67,18.67,2,4,0,25,30,21,18
Sagar Pun,27,27,891,606,26,2/8,23.31,4.08,34.27,10,0,0,6,3,21,23
S Bhari,19,19,572,449,24,4/5,18.71,4.71,23.83,5,1,0,8,8,11,16
NK Yadav,15,15,377,409,24,4/29,17.04,6.51,15.71,1,1,0,12,19,3,5
RK Paudel,29,29,580,507,24,4/22,21.12,5.24,24.17,3,1,0,17,14,12,10
Mohammad Aadil Alam,15,15,396,319,18,4/25,17.72,4.83,22.0,5,2,0,9,9,6,9
KS Airee,13,13,319,340,18,3/16,18.89,6.39,17.72,0,0,0,10,16,3,2
A Bhattarai,11,11,480,334,18,4/32,18.56,4.17,26.67,6,1,0,1,2,10,16
Aarif Sheikh,47,47,1085,900,17,3/30,52.94,4.98,63.82,3,0,0,9,5,38,12
M Alam,9,9,384,218,14,3/22,15.57,3.41,27.43,9,0,0,0,0,9,14
S Regmi,8,8,318,225,12,3/32,18.75,4.25,26.5,6,0,0,0,0,8,12
S Vesawkar,12,12,349,254,11,4/29,23.09,4.37,31.73,2,1,0,2,0,10,11
Pratis GC,12,12,294,343,10,3/16,34.3,7.0,29.4,0,0,0,10,8,2,2
P Sarraf,18,18,412,345,9,2/47,38.33,5.02,45.78,3,0,0,8,2,10,7
B Karki,4,4,189,115,9,4/39,12.78,3.65,21.0,3,1,0,1,1,3,8
Aakash Chand,5,5,138,167,9,3/27,18.56,7.26,15.33,0,0,0,3,7,2,2
R Dhakal,11,11,300,370,9,2/17,41.11,7.4,33.33,0,0,0,8,6,3,3
JK Mukhiya,9,9,132,154,8,3/35,19.25,7.0,16.5,0,0,0,9,8,0,0
RK Vishwakarma,5,5,258,136,8,3/32,17.0,3.16,32.25,4,0,0,0,0,5,8
S Dhakal,13,13,349,311,7,2/31,44.43,5.35,49.86,1,0,0,6,3,7,4
Bikram Sob,6,6,163,146,6,2/20,24.33,5.37,27.17,2,0,0,0,0,6,6
Shahab Alam,7,7,120,194,5,2/15,38.8,9.7,24.0,0,0,0,7,5,0,0
Basir Ahamad,4,4,135,101,4,2/30,25.25,4.49,33.75,0,0,0,1,2,3,2
BK Das,6,6,210,152,4,2/15,38.0,4.34,52.5,6,0,0,0,0,6,4
H Dhami,1,1,48,54,3,3/54,18.0,6.75,16.0,0,0,0,0,0,1,3
B Yadav,8,8,55,89,2,1/1,44.5,9.71,27.5,0,0,0,8,2,0,0
K Mahato,2,2,78,77,2,2/55,38.5,5.92,39.0,0,0,0,0,0,2,2
Rupesh Singh,3,3,60,100,2,1/33,50.0,10.0,30.0,0,0,0,3,2,0,0
P Baskota,2,2,84,31,1,1/17,31.0,2.21,84.0,2,0,0,0,0,2,1
LS Bhandari,2,2,108,78,1,1/30,78.0,4.33,108.0,4,0,0,0,0,2,1
G Malla,2,2,18,18,1,1/6,18.0,6.0,18.0,0,0,0,0,0,2,1
Surya Tamang,2,2,90,78,1,1/46,78.0,5.2,90.0,1,0,0,0,0,2,1
C Sawad,1,1,30,25,1,1/25,25.0,5.0,30.0,0,0,0,0,0,1,1
Rashid Khan,2,2,42,67,1,1/48,67.0,9.57,42.0,0,0,0,2,1,0,0
A Karn,1,1,24,31,1,1/31,31.0,7.75,24.0,0,0,0,1,1,0,0
SM Dhakal,2,2,36,44,1,1/30,44.0,7.33,36.0,0,0,0,2,1,0,0
H Shah,3,3,60,55,0,0/0,0.0,5.5,0.0,1,0,0,0,0,3,0
B Sharki,1,1,6,8,0,0/0,0.0,8.0,0.0,0,0,0,0,0,1,0
Irshad Ahamad,2,2,66,55,0,0/0,0.0,5.0,0.0,0,0,0,0,0,2,0
